New table
,,,"Noble Bastard Blade","4","6x Metal 3x Decoration",,,,,,,,,,,"3 - Metal (Слот 1) 1 - Decoration (Слот 2)"
,,,"Zweihänder Blade","3","8x Metal",,,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Claymore Blade","4","7x Metal"
,,,"Noble Zweihänder Blade","4","8x Metal 4x Decoration",,,,,,,,,,,"3 - Metal (Слот 1) 1 - Decoration (Слот 2)"
,"Lond Sword Guard","2x Metal","Simple Guard","2","2x Metal","Верстак
Горн
Шліфувальний верстак
Відро
Ковадло",,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Straight Guard","3","2x Metal"
,,,"Curved Guard","3","2x Metal"
,,,"Decorated Guard","4","2x Metal 1x Decoration",,,,,,,,,,,"3 - Metal (Слот 1) 1 - Decoration (Слот 2)"
,"Long Sword Pommel","2x Metal","Simple Pommel","2","2x Metal",,,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Heavy Pommel","3","3x Metal"
,,,"Decorated Pommel","4","2x Metal 1x Decoration",,,,,,,,,,,"3 - Metal (Слот 1) 1 - Decoration (Слот 2)"
,"Long Sword Handle","2x Wood 1x Leather","Simple Handle","2","2x Wood","Верстак
Теслярний верстак",,,,,,,,,,"3 - Wood (Слот 1)"
,,,"Grip Handle","3","3x Wood 1x Leather",,,,,,,,,,,"3 - Wood (Слот 1) 1 - Leather (Слот 2)"
,,,"Decorated Handle","4","3x Wood 2x Leather 1x Decoration",,,,,,,,,,,"3 - Wood (Слот 1) 1 - Leather (Слот 2) 1 - Decorations (Слот 3)"
"Категорія","Підкатегорія",,"Виріб","Складність","Матеріали для створення","Станки",,,,,,,,,,"Ваги складових"
"Pole Weapon","Pole Head","3x Metal","Spear Head","2","2x Metal","Верстак
Горн
Точильний камінь
Відро
Шліфувальний верстак
Ковадло",,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Bardiche Head","3","3x Metal"
,,,"Halberd Head","3","4x Metal"
,,,"Pike Head","3","2x Metal"
,"Pole Handle","3x Wood 1x Leather","Simple Handle","2","3x Wood","Верстак
Теслярний верстак",,,,,,,,,,"3 - Wood (Слот 1)"
,,,"Grip Handle","3","3x Wood 2x Leather",,,,,,,,,,,"3 - Wood (Слот 1) 1 - Leather (Слот 2)"
,,,"Ornamented Hande","4","4x Wood 3x Cloth 2x Decoration",,,,,,,,,,,"3 - Wood (Слот 1) 1 - Leather (Слот 2) 1 - Decorations (Слот 3)"
"Категорія","Підкатегорія","Матеріали підкатегорії","Виріб","Складність","Матеріали для створення","Станки",,,,,,,,,,"Ваги складових"
"Heavy Weapon","Heavy Weapon Head","3x Metal","War Hammer Head","2","3x Metal","Верстак
Горн
Точильний камінь
Відро
Шліфувальний верстак
Ковадло",,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Mace Head","2","3x Metal","Верстак
Горн
Шліфувальний верстак
Відро
Ковадло"
,,,"Morning Start Head","2","3x Metal"
,,,"Battle Axe Head","2","3x Metal","Верстак
Горн
Точильний камінь
Відро
Шліфувальний верстак
Ковадло"
,,,"Noble Pernach Head","4","3x Metal 2x Decoration",,,,,,,,,,,"3 - Metal (Слот 1) 1 - Decoration (Слот 2)"
,"Heavy Weapon Handle","1x Wood 1x Leather 1x Metal","Wooden Handle","2","2x Wood","Верстак
Теслярний верстак",,,,,,,,,,"3 - Wood (Слот 1)"
,,,"Grip Handle","2","2x Wood 1x Leather",,,,,,,,,,,"3 - Wood (Слот 1) 1 - Leather (Слот 2)"
,,,"Metal Handle","3","2x Metal","Верстак
Горн
Ковадло
Відро
Шліфувальний верстак",,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Decorated Metal Handle","4","2x Metal 2x Decoration",,,,,,,,,,,"3 - Metal (Слот 1) 1 - Decoration (Слот 2)"
"Категорія","Підкатегорія","Матеріали підкатегорії","Виріб","Складність","Матеріали для створення","Станки",,,,,,,,,,"Ваги складових"
"Dagger","Dagger Blade","3x Metal","Knife Blade","1","2x Metal","Верстак
Горн
Точильний камінь
Відро
Шліфувальний верстак
Ковадло",,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Thieves Dagger Blade","1","3x Metal"
,,,"Knights Dagger Blade","2","3x Metal"
,,,"Rich Dagger Blade","3","3x Metal 1x Decoration",,,,,,,,,,,"3 - Metal (Слот 1) 1 - Decoration (Слот 2)"
,"Dagger Handle","1x Wood 1x Leather","Simple Dagger Handle","1","1x Wood","Верстак
Теслярний верстак",,,,,,,,,,"3 - Wood (Слот 1)"
,,,"Grip Dagger Handle","2","1x Wood 1x Leather",,,,,,,,,,,"3 - Wood (Слот 1) 1 - Leather (Слот 2)"
,,,"Decorated Dagger Handle","3","1x Wood 1x Leather 1x Decoration",,,,,,,,,,,"3 - Wood (Слот 1) 2 - Leather (Слот 2) 1 - Decortaion (Слот 3)"
,"Dagger Pommel","1x Metal","Simple Dagger Pommel","1","1x Metal","Верстак
Горн
Ковадло
Відро
Шліфувальний верстак",,,,,,,,,,"3 - Metal (Слот 1)"
,,,"Large Dagger Pommel","2","1x Metal"
,"Dagger Guard","1x Metal","Simple Dagger Guard","1","1x Metal"
,,,"Extended Dagger Guard","2","1x Metal"
